epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1445.15,1.36734,2.07468,1.60895,0.81153,0.74341,0.81472,0.45301,1.4384,1.51432,1.702,0.0033269,0.0033269,0.0033269
2,2928.67,1.33509,1.37774,1.50763,0.74877,0.70114,0.73808,0.41986,1.44579,1.45468,1.7531,0.0065943,0.0065943,0.0065943
3,4191.97,1.40685,1.34605,1.56232,0.65536,0.56404,0.6023,0.29948,1.68577,1.6328,1.9685,0.00979569,0.00979569,0.00979569
4,5364.49,1.46302,1.35055,1.61358,0.7955,0.74742,0.80933,0.44957,1.50606,1.10847,1.7776,0.009703,0.009703,0.009703
5,6578.02,1.42621,1.2399,1.57897,0.79566,0.75008,0.82101,0.47883,1.43904,1.04418,1.70407,0.009604,0.009604,0.009604
6,7754.81,1.39557,1.18039,1.55843,0.8346,0.76482,0.84058,0.49894,1.4077,0.96096,1.66666,0.009505,0.009505,0.009505
7,8956.47,1.36995,1.12115,1.53385,0.82485,0.78368,0.84307,0.49687,1.42642,0.92388,1.68579,0.009406,0.009406,0.009406
8,10170.6,1.35338,1.09278,1.52247,0.8585,0.82352,0.88237,0.54408,1.32505,0.81893,1.59417,0.009307,0.009307,0.009307
9,11384,1.3319,1.04902,1.50251,0.86439,0.8239,0.88047,0.53955,1.33543,0.81853,1.60513,0.009208,0.009208,0.009208
10,12620.6,1.32228,1.02629,1.49316,0.8893,0.8382,0.90367,0.56819,1.27899,0.74385,1.55799,0.009109,0.009109,0.009109
11,13860.1,1.30739,1.00909,1.48424,0.88238,0.83017,0.89519,0.56139,1.29866,0.77172,1.57313,0.00901,0.00901,0.00901
12,15100.1,1.28663,0.97176,1.46376,0.88249,0.85519,0.90872,0.5715,1.3047,0.72042,1.56685,0.008911,0.008911,0.008911
13,16329.7,1.29009,0.95828,1.45906,0.87848,0.85372,0.90642,0.5799,1.26443,0.69321,1.53163,0.008812,0.008812,0.008812
14,17553.4,1.27427,0.9508,1.44903,0.902,0.85351,0.91798,0.58778,1.24823,0.67213,1.51331,0.008713,0.008713,0.008713
15,18785.7,1.26342,0.93202,1.44444,0.90119,0.85933,0.92178,0.59096,1.23808,0.67436,1.50205,0.008614,0.008614,0.008614
16,19996.9,1.26299,0.92536,1.44449,0.89159,0.8633,0.92175,0.59695,1.23659,0.65128,1.50248,0.008515,0.008515,0.008515
17,21232.1,1.2503,0.90948,1.42999,0.88408,0.86136,0.91354,0.58893,1.24144,0.68067,1.51233,0.008416,0.008416,0.008416
18,22472.2,1.24937,0.90748,1.4337,0.88523,0.87271,0.92156,0.6003,1.21962,0.6455,1.48011,0.008317,0.008317,0.008317
19,23693.8,1.24458,0.88928,1.42714,0.89405,0.88457,0.92702,0.60519,1.22772,0.62213,1.4845,0.008218,0.008218,0.008218
20,24911.7,1.24066,0.88501,1.42585,0.89919,0.8766,0.92599,0.60461,1.20933,0.62128,1.47304,0.008119,0.008119,0.008119
