epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.595,1.70379,2.34241,1.73204,0.80938,0.75358,0.816,0.41829,1.61472,1.24707,1.58738,0.0033269,0.0033269,0.0033269
2,294.588,1.56454,1.46667,1.60117,0.73189,0.65302,0.73368,0.35856,1.71439,1.4378,1.60086,0.0065937,0.0065937,0.0065937
3,440.382,1.57369,1.43494,1.56736,0.78031,0.68985,0.76032,0.38697,1.66132,1.33253,1.59937,0.00979389,0.00979389,0.00979389
4,584.094,1.58175,1.44052,1.55767,0.8118,0.78149,0.83866,0.45454,1.54089,1.08068,1.47067,0.0097003,0.0097003,0.0097003
5,728.058,1.55874,1.37869,1.53811,0.83908,0.7706,0.84027,0.44558,1.58533,1.07183,1.4764,0.0096004,0.0096004,0.0096004
6,872.893,1.52903,1.32754,1.51367,0.82916,0.78506,0.85213,0.4792,1.47451,1.02946,1.39308,0.0095005,0.0095005,0.0095005
7,1017,1.50481,1.29424,1.49712,0.81725,0.76891,0.82742,0.4599,1.49435,1.08963,1.41963,0.0094006,0.0094006,0.0094006
8,1161.01,1.49524,1.26012,1.48573,0.85468,0.8147,0.87512,0.48472,1.50125,0.96427,1.42383,0.0093007,0.0093007,0.0093007
9,1304.63,1.47767,1.22972,1.46941,0.86402,0.81862,0.8808,0.50552,1.47077,0.88534,1.37759,0.0092008,0.0092008,0.0092008
10,1449,1.46611,1.20773,1.46249,0.86344,0.82042,0.88384,0.50894,1.41013,0.88776,1.3571,0.0091009,0.0091009,0.0091009
11,1592.99,1.45136,1.18683,1.4509,0.88125,0.82798,0.89646,0.5241,1.42524,0.82441,1.36467,0.009001,0.009001,0.009001
12,1736.74,1.44291,1.16369,1.43994,0.85451,0.83471,0.88394,0.52244,1.41018,0.84732,1.34113,0.0089011,0.0089011,0.0089011
13,1880.63,1.44059,1.14949,1.43979,0.86706,0.80351,0.88199,0.51774,1.41598,0.85133,1.34199,0.0088012,0.0088012,0.0088012
